model_type,model_name,r2_score,rmse,mae,cv_rmse
transmission,Random Forest,0.9978680710833163,0.08164673520676612,0.0055493817601768485,0.16854708418525638
mortality,GradientBoosting,,,,
transmission,Linear Regression,0.035042428922618996,1842.785617086059,170.73077864094827,1731.8989354777411
mortality,Random Forest,0.9984848382144575,0.002724994636315382,9.623012605816439e-05,0.007231456000615563
geographical,Ridge,,,,
geographical_spread,Random_Forest,-0.01674399821428585,1.3256452412148416,,
unknown,unknown,,,,
transmission,GradientBoosting,,,,
geographical_spread,Linear Regression,1.0,1.3567149463006938e-15,8.881784197001252e-16,3.640223280579608e-13
